"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","CAF.TMG_RPCH.A","OBS_VALUE","Central African Republic","Imports of goods, Volume, Percent change","Annual","Units","10.018","6.681","2.423","7.334","-1.273","12.741","11.715","-19.826","8.124","-36.786","140.827","35.166","14.437","-2.041","-1.657","9.35","7.532","-11.605"
"IMF.RES:WEO(4.0.0)","CHN.TMG_RPCH.A","OBS_VALUE","China, People's Republic of","Imports of goods, Volume, Percent change","Annual","Units","19.13","12.862","17.005","12.85","5.152","2.986","23.377","11.734","5.793","9.702","3.717","-0.67","5.432","7.297","8.588","0.44","0.002","10.666"
"IMF.RES:WEO(4.0.0)","CMR.TMG_RPCH.A","OBS_VALUE","Cameroon","Imports of goods, Volume, Percent change","Annual","Units","0.37","12.526","6.028","22.483","5.332","-9.97","2.736","14.061","1.805","4.131","12.707","1.836","-5.658","-1.481","4.152","24.798","-13.38","18.217"
"IMF.RES:WEO(4.0.0)","CHL.TMG_RPCH.A","OBS_VALUE","Chile","Imports of goods, Volume, Percent change","Annual","Units","19.906","22.703","12.781","16.738","15.963","-20.105","31.127","17.385","6.067","1.074","-6.776","-0.658","1.19","4.901","8.596","-2.128","-9.776","35.448"
"IMF.RES:WEO(4.0.0)","COD.TMG_RPCH.A","OBS_VALUE","Congo, Democratic Republic of the","Imports of goods, Volume, Percent change","Annual","Units","-2.083","-0.906","-4.43","56.391","11.388","-7.687","48.17","-1.481","-13.332","23.461","12.634","-18.634","16.88","2.405","11.795","-16.613","22.081","33.776"
"IMF.RES:WEO(4.0.0)","COL.TMG_RPCH.A","OBS_VALUE","Colombia","Imports of goods, Volume, Percent change","Annual","Units","9.619","18.785","16.399","16.26","6.151","-9.9","11.499","22.726","9.133","3.859","12.343","-6.015","-12.534","-0.858","8.321","1.597","-15.937","16.228"
"IMF.RES:WEO(4.0.0)","COM.TMG_RPCH.A","OBS_VALUE","Comoros, Union of the","Imports of goods, Volume, Percent change","Annual","Units","7.542","6.128","4.004","0.5","16.717","11.619","0.467","-1.58","4.823","7.705","1.848","-7.085","12.623","1.314","9.109","-2.213","7.904","-5.837"
"IMF.RES:WEO(4.0.0)","CPV.TMG_RPCH.A","OBS_VALUE","Cabo Verde","Imports of goods, Volume, Percent change","Annual","Units","20.238","-4.497","24.028","37.461","3.097","-10.764","4.057","16.432","-20.958","-2.715","12.313","-22.62","20.457","19.024","4.803","2.273","-9.839","3.196"
"IMF.RES:WEO(4.0.0)","CYP.TMG_RPCH.A","OBS_VALUE","Cyprus","Imports of goods, Volume, Percent change","Annual","Units","-5.252","7.455","6.243","10.123","12.196","-18.876","10.977","-4.272","-7.798","-14.982","6.582","6.278","12.827","12.507","4.084","-6.64","-7.605","9.297"
"IMF.RES:WEO(4.0.0)","DEU.TMG_RPCH.A","OBS_VALUE","Germany","Imports of goods, Volume, Percent change","Annual","Units","7.083","6.375","12.951","6.788","1.267","-10.634","12.488","7.319","-1.733","1.57","3.763","4.497","3.033","3.942","6.356","3.147","-5.372","7.629"
