"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","COL.LP.A","OBS_VALUE","Colombia","Population, Number","Annual","Millions","41.166","41.672","42.17","42.659","43.134","43.609","44.086","44.553","45.002","45.435","45.866","46.314","46.83","47.419","48.258","49.396","50.408","51.117"
"IMF.RES:WEO(4.0.0)","COG.LP.A","OBS_VALUE","Congo, Republic of","Population, Number","Annual","Millions","3.543","3.673","3.813","3.956","4.09","4.257","4.438","4.584","4.713","4.828","4.945","5.064","5.187","5.312","5.441","5.571","5.702","5.836"
"IMF.RES:WEO(4.0.0)","CYP.LP.A","OBS_VALUE","Cyprus","Population, Number","Annual","Millions","0.723","0.733","0.744","0.758","0.776","0.797","0.819","0.84","0.862","0.866","0.858","0.847","0.848","0.855","0.864","0.876","0.888","0.896"
"IMF.RES:WEO(4.0.0)","COM.LP.A","OBS_VALUE","Comoros, Union of the","Population, Number","Annual","Millions","0.581","0.593","0.605","0.617","0.629","0.642","0.656","0.67","0.685","0.699","0.715","0.73","0.746","0.762","0.776","0.791","0.806","0.822"
"IMF.RES:WEO(4.0.0)","CPV.LP.A","OBS_VALUE","Cabo Verde","Population, Number","Annual","Millions","0.445","0.451","0.457","0.463","0.468","0.473","0.478","0.481","0.483","0.486","0.489","0.491","0.493","0.496","0.498","0.5","0.502","0.504"
"IMF.RES:WEO(4.0.0)","DJI.LP.A","OBS_VALUE","Djibouti","Population, Number","Annual","Millions","0.772","0.783","0.795","0.805","0.816","0.828","0.84","0.854","0.868","0.883","0.899","0.914","0.929","0.944","0.959","0.974","0.988","1.002"
"IMF.RES:WEO(4.0.0)","DEU.LP.A","OBS_VALUE","Germany","Population, Number","Annual","Millions","81.457","81.337","81.174","80.993","80.765","80.483","80.285","80.276","80.427","80.646","80.983","81.687","82.349","82.657","82.906","83.093","83.161","83.196"
"IMF.RES:WEO(4.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Number","Annual","Millions","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.07","0.069","0.07","0.07","0.071","0.071","0.069","0.07","0.072","0.073","0.074"
"IMF.RES:WEO(4.0.0)","DNK.LP.A","OBS_VALUE","Denmark","Population, Number","Annual","Millions","5.398","5.411","5.427","5.447","5.476","5.511","5.535","5.561","5.581","5.603","5.627","5.66","5.707","5.749","5.781","5.806","5.823","5.84"
"IMF.RES:WEO(4.0.0)","DZA.LP.A","OBS_VALUE","Algeria","Population, Number","Annual","Millions","32.366","32.855","33.351","33.858","34.591","35.268","35.978","36.717","37.495","38.297","39.114","39.963","40.836","41.721","42.578","43.424","43.851","44.577"
"IMF.RES:WEO(4.0.0)","ECU.LP.A","OBS_VALUE","Ecuador","Population, Number","Annual","Millions","13.367","13.604","13.852","14.107","14.359","14.616","14.884","15.161","15.441","15.718","15.994","16.269","16.532","16.793","17.078","17.357","17.526","17.614"
"IMF.RES:WEO(4.0.0)","ERI.LP.A","OBS_VALUE","Eritrea, The State of","Population, Number","Annual","Millions","2.72","2.827","2.918","2.997","3.063","3.12","3.17","3.214","3.25","3.281","3.311","3.343","3.377","3.413","3.453","3.497","",""
"IMF.RES:WEO(4.0.0)","EST.LP.A","OBS_VALUE","Estonia, Republic of","Population, Number","Annual","Millions","1.363","1.355","1.347","1.341","1.337","1.335","1.331","1.327","1.323","1.318","1.315","1.315","1.316","1.317","1.322","1.327","1.33","1.331"
"IMF.RES:WEO(4.0.0)","ESP.LP.A","OBS_VALUE","Spain","Population, Number","Annual","Millions","42.859","43.663","44.361","45.236","45.983","46.368","46.562","46.736","46.766","46.593","46.455","46.41","46.45","46.533","46.729","47.105","47.356","47.331"
"IMF.RES:WEO(4.0.0)","ETH.LP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Population, Number","Annual","Millions","66.521","68.25","70.025","72.421","74.879","76.826","78.824","80.7","82.7","84.8","87.0","89.1","91.2","93.4","95.5","97.6","99.7","101.9"
"IMF.RES:WEO(4.0.0)","FIN.LP.A","OBS_VALUE","Finland","Population, Number","Annual","Millions","5.22","5.237","5.256","5.277","5.3","5.326","5.351","5.375","5.401","5.427","5.451","5.472","5.487","5.503","5.513","5.518","5.525","5.534"
"IMF.RES:WEO(4.0.0)","FJI.LP.A","OBS_VALUE","Fiji, Republic of","Population, Number","Annual","Millions","0.821","0.827","0.83","0.837","0.838","0.843","0.848","0.852","0.857","0.86","0.864","0.868","0.871","0.885","0.89","0.896","0.901","0.906"
"IMF.RES:WEO(4.0.0)","FSM.LP.A","OBS_VALUE","Micronesia, Federated States of","Population, Number","Annual","Millions","0.106","0.106","0.105","0.104","0.104","0.103","0.103","0.104","0.104","0.104","0.103","0.103","0.102","0.101","0.1","0.098","0.097","0.096"
"IMF.RES:WEO(4.0.0)","GBR.LP.A","OBS_VALUE","United Kingdom","Population, Number","Annual","Millions","59.95","60.413","60.827","61.319","61.824","62.261","62.76","63.285","63.705","64.106","64.597","65.11","65.648","66.04","66.436","66.797","67.081","67.28"
"IMF.RES:WEO(4.0.0)","GAB.LP.A","OBS_VALUE","Gabon","Population, Number","Annual","Millions","1.33","1.364","1.398","1.44","1.494","1.551","1.61","1.671","1.735","1.803","1.868","1.93","1.98","2.025","2.053","2.08","2.108","2.135"
"IMF.RES:WEO(4.0.0)","GEO.LP.A","OBS_VALUE","Georgia","Population, Number","Annual","Millions","3.938","3.917","3.888","3.873","3.848","3.829","3.8","3.774","3.739","3.718","3.717","3.722","3.729","3.726","3.73","3.724","3.717","3.729"
"IMF.RES:WEO(4.0.0)","GIN.LP.A","OBS_VALUE","Guinea","Population, Number","Annual","Millions","9.38","9.576","9.799","10.047","10.315","10.593","10.876","11.162","11.451","11.745","12.044","12.345","12.654","12.97","13.294","13.627","13.967","14.317"
"IMF.RES:WEO(4.0.0)","GHA.LP.A","OBS_VALUE","Ghana","Population, Number","Annual","Millions","20.859","21.367","21.876","22.388","22.901","23.417","24.659","25.261","25.867","26.479","27.092","27.707","28.324","28.94","29.555","30.168","30.779","31.394"
"IMF.RES:WEO(4.0.0)","GNQ.LP.A","OBS_VALUE","Equatorial Guinea, Republic of","Population, Number","Annual","Millions","0.725","0.757","0.792","0.829","0.868","0.909","0.951","0.994","1.039","1.084","1.129","1.175","1.221","1.268","1.314","1.36","1.406","1.452"
"IMF.RES:WEO(4.0.0)","GMB.LP.A","OBS_VALUE","Gambia, The","Population, Number","Annual","Millions","1.497","1.544","1.591","1.64","1.689","1.74","1.793","1.848","1.905","1.964","2.024","2.086","2.149","2.214","2.28","2.349","2.419","2.492"
"IMF.RES:WEO(4.0.0)","GNB.LP.A","OBS_VALUE","Guinea-Bissau","Population, Number","Annual","Millions","1.299","1.328","1.356","1.386","1.417","1.449","1.46","1.492","1.525","1.559","1.593","1.628","1.664","1.7","1.738","1.776","1.815","1.855"
"IMF.RES:WEO(4.0.0)","HRV.LP.A","OBS_VALUE","Croatia, Republic of","Population, Number","Annual","Millions","4.305","4.31","4.311","4.31","4.31","4.305","4.295","4.281","4.268","4.256","4.238","4.204","4.174","4.125","4.088","4.065","4.048","3.879"
"IMF.RES:WEO(4.0.0)","HUN.LP.A","OBS_VALUE","Hungary","Population, Number","Annual","Millions","10.117","10.098","10.077","10.066","10.045","10.031","10.014","9.986","9.932","9.909","9.877","9.856","9.83","9.798","9.778","9.773","9.77","9.731"
"IMF.RES:WEO(4.0.0)","IDN.LP.A","OBS_VALUE","Indonesia","Population, Number","Annual","Millions","218.285","221.398","224.555","227.758","231.006","234.3","237.641","241.991","245.425","248.818","252.165","255.182","258.497","261.356","264.162","266.912","270.204","272.679"
"IMF.RES:WEO(4.0.0)","HTI.LP.A","OBS_VALUE","Haiti","Population, Number","Annual","Millions","9.145","9.292","9.445","9.602","9.762","9.923","10.085","10.248","10.413","10.579","10.746","10.912","11.078","11.245","11.412","11.578","11.743","11.906"
"IMF.RES:WEO(4.0.0)","IND.LP.A","OBS_VALUE","India","Population, Number","Annual","Millions","1136.265","1154.639","1172.374","1189.692","1206.735","1223.64","1240.614","1257.621","1274.487","1291.132","1307.247","1322.867","1338.636","1354.196","1369.003","1383.112","1396.387","1407.564"
"IMF.RES:WEO(4.0.0)","IRL.LP.A","OBS_VALUE","Ireland","Population, Number","Annual","Millions","4.1","4.2","4.321","4.445","4.516","4.547","4.568","4.585","4.605","4.631","4.667","4.714","4.781","4.848","4.92","4.996","5.054","5.123"
"IMF.RES:WEO(4.0.0)","ISR.LP.A","OBS_VALUE","Israel","Population, Number","Annual","Millions","6.806","6.927","7.052","7.176","7.307","7.482","7.621","7.763","7.907","8.056","8.212","8.377","8.543","8.71","8.879","9.051","9.214","9.367"
"IMF.RES:WEO(4.0.0)","IRQ.LP.A","OBS_VALUE","Iraq","Population, Number","Annual","Millions","26.674","27.377","28.064","28.741","29.43","30.163","30.962","31.76","32.578","33.417","35.0","35.213","36.169","37.14","38.124","39.128","40.15","41.191"
"IMF.RES:WEO(4.0.0)","ITA.LP.A","OBS_VALUE","Italy","Population, Number","Annual","Millions","57.612","58.044","58.289","58.511","59.002","59.421","59.69","59.948","60.105","60.277","60.346","60.295","60.164","60.067","59.938","59.817","59.641","59.236"
"IMF.RES:WEO(4.0.0)","JAM.LP.A","OBS_VALUE","Jamaica","Population, Number","Annual","Millions","2.639","2.648","2.658","2.667","2.677","2.686","2.696","2.703","2.71","2.713","2.716","2.719","2.722","2.726","2.731","2.734","2.737","2.74"
"IMF.RES:WEO(4.0.0)","KEN.LP.A","OBS_VALUE","Kenya","Population, Number","Annual","Millions","32.9","33.8","34.7","35.7","36.7","37.7","38.6","39.5","40.4","41.4","42.4","43.3","44.3","45.4","46.4","47.6","48.797","49.747"
"IMF.RES:WEO(4.0.0)","JPN.LP.A","OBS_VALUE","Japan","Population, Number","Annual","Millions","127.734","127.752","127.746","127.757","127.692","127.551","127.594","127.831","127.552","127.333","127.12","126.978","126.96","126.746","126.495","126.221","125.849","125.492"
"IMF.RES:WEO(4.0.0)","KGZ.LP.A","OBS_VALUE","Kyrgyz Republic","Population, Number","Annual","Millions","5.073","5.136","5.189","5.248","5.289","5.348","5.418","5.478","5.552","5.663","5.777","5.895","6.019","6.14","6.257","6.389","6.517","6.654"
"IMF.RES:WEO(4.0.0)","KHM.LP.A","OBS_VALUE","Cambodia","Population, Number","Annual","Millions","12.623","12.829","13.037","13.249","13.465","13.684","13.906","14.132","14.362","14.596","14.833","15.074","15.319","15.568","15.821","16.079","16.338","16.592"
"IMF.RES:WEO(4.0.0)","KIR.LP.A","OBS_VALUE","Kiribati","Population, Number","Annual","Millions","0.091","0.093","0.095","0.097","0.099","0.101","0.103","0.104","0.106","0.107","0.109","0.11","0.112","0.114","0.116","0.118","0.119","0.121"
"IMF.RES:WEO(4.0.0)","KNA.LP.A","OBS_VALUE","St. Kitts and Nevis","Population, Number","Annual","Millions","0.047","0.047","0.047","0.047","0.047","0.047","0.047","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048","0.048"
"IMF.RES:WEO(4.0.0)","KWT.LP.A","OBS_VALUE","Kuwait","Population, Number","Annual","Millions","2.391","2.245","2.328","2.411","2.778","2.778","2.933","3.247","3.428","3.588","3.744","3.925","4.083","4.227","4.42","4.465","4.336","4.217"
"IMF.RES:WEO(4.0.0)","LBY.LP.A","OBS_VALUE","Libya","Population, Number","Annual","Millions","5.51","5.59","5.69","5.78","5.88","5.96","6.041","5.923","6.283","6.266","6.259","6.322","6.385","6.448","6.513","6.578","6.644","6.71"
"IMF.RES:WEO(4.0.0)","LAO.LP.A","OBS_VALUE","Lao People's Democratic Republic","Population, Number","Annual","Millions","5.768","5.853","5.947","6.041","6.136","6.23","6.323","6.416","6.509","6.601","6.691","6.787","6.891","6.998","7.105","7.212","7.319","7.425"
"IMF.RES:WEO(4.0.0)","LSO.LP.A","OBS_VALUE","Lesotho, Kingdom of","Population, Number","Annual","Millions","1.874","1.875","1.877","1.889","1.902","1.915","1.928","1.941","1.954","1.967","1.98","1.994","2.007","2.021","2.034","2.048","2.062","2.087"
