COUNTRY.Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mexico,"634,779,000","624,098,000","731,619,000","831,043,000","833,536,000","807,350,000","773,770,000","1,122,897,000","1,082,599,000","1,093,115,000","1,171,429,000","1,054,073,000","1,035,726,000","1,298,053,000","1,468,076,000","1,394,570,449","1,225,125,177","1,450,370,167"
Netherlands,"2,468,384,000","2,837,525,000","2,827,177,000","3,300,086,000","3,414,376,000","3,162,079,000","3,231,463,000","3,579,226,000","3,481,287,000","3,493,042,000","4,062,591,000","3,647,941,000","4,219,151,000","5,306,274,000","5,669,730,000","5,723,789,229","5,577,824,688","6,504,217,915"
New Zealand,"843,125,000","885,787,000","875,883,000","923,351,000","896,966,000","906,018,000","1,078,938,000","1,213,396,000","1,249,990,000","1,213,473,000","1,252,928,000","1,112,486,000","1,214,043,000","1,240,166,000","1,230,786,000","1,299,766,707","1,122,816,786","1,280,262,437"
Norway,"4,170,996,000","4,921,788,000","5,543,705,000","6,290,039,000","6,993,982,000","7,107,237,000","8,852,961,000","9,484,237,000","8,921,085,000","10,392,246,000","10,830,773,000","9,210,984,000","10,798,031,000","11,311,852,000","12,014,212,000","12,022,774,894","11,153,465,985","13,885,776,179"
Poland,"439,784,000","633,650,000","815,516,000","961,380,000","1,180,015,000","1,110,234,000","1,380,165,000","1,569,975,000","1,556,453,000","1,780,386,000","2,002,304,000","1,736,433,000","1,958,034,000","2,203,749,000","2,540,709,000","2,542,806,345","2,724,635,210","2,960,682,206"
Portugal,"435,228,000","452,539,000","569,851,000","651,196,000","734,885,000","631,061,000","918,119,000","1,087,982,000","1,023,311,000","1,084,160,000","1,193,339,000","1,117,586,000","1,062,377,000","1,190,020,000","1,301,215,000","1,196,743,550","1,030,824,823","1,299,663,444"
Slovak Republic,"5,470,000","4,699,000","5,614,000","6,530,000","7,743,000","5,136,000","10,054,000","12,811,000","9,767,000","16,656,000","25,904,000","11,648,000","10,106,000","11,942,000","19,395,000","18,015,975","15,657,562","20,671,554"
Slovenia,"10,981,000","33,046,000","20,370,000","19,114,000","25,894,000","26,641,000","24,878,000","28,006,000","26,110,000","28,014,000","32,104,000","28,547,000","39,539,000","39,327,000","44,510,000","45,413,741","46,986,993","62,854,705"
Spain,"2,581,893,000","2,603,184,000","2,871,910,000","3,258,101,000","3,492,514,000","3,168,096,000","3,339,477,000","4,216,974,000","3,938,973,000","3,990,355,000","4,096,581,000","3,807,001,000","4,155,816,000","4,711,052,000","5,093,480,000","4,753,455,599","4,566,398,030","5,690,236,139"
Sweden,"926,985,000","1,185,087,000","1,560,884,000","1,666,705,000","1,914,641,000","2,045,915,000","2,670,699,000","2,865,464,000","2,877,978,000","3,588,328,000","3,885,019,000","3,680,508,000","4,428,092,000","4,143,061,000","4,839,445,000","4,500,620,369","4,364,749,583","4,835,233,045"
Switzerland,"9,241,000","10,740,000","16,531,000","16,806,000","24,872,000","22,036,000","21,451,000","25,260,000","23,673,000","26,851,000","23,439,000","20,863,000","19,647,000","20,928,000","21,646,000","24,438,872","28,017,064","27,332,860"
Türkiye,"214,069,000","245,510,000","206,518,000","223,887,000","439,705,000","346,259,000","361,239,000","437,265,000","448,180,000","575,415,000","695,579,000","698,910,000","806,592,000","862,127,000","976,347,000","1,047,065,078","1,108,380,769","1,395,019,368"
United Kingdom,"1,833,866,000","1,890,085,000","1,959,705,000","2,232,702,000","2,138,359,000","2,148,529,000","2,433,461,000","2,803,765,000","2,588,480,000","2,721,518,000","3,103,872,000","2,515,271,000","2,674,742,000","2,930,105,000","2,863,615,000","3,013,916,339","2,544,599,067","2,641,289,890"
United States,"3,693,079,000","4,286,889,000","4,190,110,000","4,499,115,000","4,533,441,000","4,225,019,000","4,774,879,000","5,900,623,000","5,483,758,000","5,684,621,000","5,851,186,000","5,670,390,000","5,588,117,000","6,246,034,000","5,787,552,000","5,423,038,910","4,505,723,694","5,297,094,094"
Argentina,"818,199,000","804,356,000","1,249,411,000","1,104,465,000","1,298,552,000","1,124,932,000","1,338,067,000","1,471,838,000","1,327,026,000","1,495,292,000","1,586,903,000","1,466,760,000","1,701,084,000","1,978,786,000","2,082,262,000","1,783,052,355","1,649,099,087","1,894,190,688"
Bangladesh,"372,691,000","635,077,000","450,515,000","631,244,000","562,565,000","398,243,000","541,466,000","642,909,000","498,659,000","539,326,000","603,607,000","447,913,000","559,778,000","497,081,000","447,846,000","472,828,168","425,887,049","441,892,841"
Brazil,"432,115,000","409,456,000","374,441,000","320,069,000","282,766,000","209,921,000","232,903,000","242,543,000","221,607,000","225,879,000","208,600,000","223,359,000","244,236,000","253,989,000","277,007,000","329,623,719","286,356,480","398,417,818"
Bulgaria,"10,737,000","10,722,000","16,786,000","18,021,000","24,746,000","25,347,000","33,537,000","34,661,000","34,399,000","40,731,000","45,885,000","49,019,000","67,199,000","88,446,000","88,647,000","85,707,926","80,247,614","94,863,225"
China,"6,779,909,000","7,674,305,000","9,150,328,000","9,450,995,000","10,356,951,000","10,473,061,000","13,475,208,000","17,228,927,000","18,444,831,000","19,710,552,000","21,191,537,000","19,924,138,000","20,323,122,000","20,701,805,000","21,856,930,000","20,256,428,655","18,651,325,296","21,447,337,613"
Croatia,"103,999,000","97,331,000","159,938,000","153,249,000","150,538,000","165,154,000","136,519,000","179,304,000","156,299,000","153,877,000","187,643,000","196,005,000","196,954,000","210,698,000","239,540,000","235,927,764","262,668,005","326,040,070"
India,"1,412,334,000","1,597,722,000","1,768,732,000","1,678,841,000","1,632,314,000","2,029,287,000","2,566,916,000","3,550,886,000","3,416,838,000","4,622,306,000","5,613,712,000","4,883,100,000","5,555,430,000","7,183,336,000","6,940,493,000","6,857,127,825","5,810,122,062","7,550,629,252"
Indonesia,"1,734,507,000","1,841,643,000","2,017,273,000","2,167,839,000","2,598,922,000","2,350,376,000","2,718,099,000","3,360,923,000","3,752,294,000","4,025,024,000","4,467,564,000","3,788,795,000","4,009,356,000","4,386,795,000","4,705,215,000","4,740,035,370","5,043,546,470","5,527,392,670"
Malaysia,"573,238,000","619,653,000","624,015,000","738,535,000","770,273,000","657,479,000","827,565,000","916,456,000","846,169,000","801,685,000","866,068,000","688,314,000","712,732,000","720,262,000","764,999,000","900,445,794","863,746,183","909,511,869"
Peru,"1,389,162,000","1,636,291,000","1,773,198,000","1,966,878,000","2,438,291,000","2,218,406,000","2,547,302,000","3,164,417,000","3,327,259,000","2,773,824,000","2,918,608,000","2,387,275,000","2,189,709,000","2,875,635,000","3,309,988,000","3,540,047,311","2,825,144,844","3,852,976,114"
Philippines,"454,384,000","380,094,000","419,552,000","499,539,000","672,813,000","585,044,000","680,905,000","711,155,000","850,344,000","1,185,788,000","1,054,800,000","805,286,000","735,786,000","883,537,000","912,387,000","838,145,562","834,497,492","934,831,125"
Romania,"4,894,000","6,090,000","12,730,000","2,282,000","3,003,000","6,346,000","8,947,000","18,681,000","13,454,000","16,850,000","17,776,000","16,519,000","16,724,000","18,069,000","23,642,000","30,921,732","28,071,353","37,556,231"
Russia,"1,528,172,000","1,954,022,000","2,129,338,000","2,374,618,000","2,632,330,000","2,325,335,000","2,854,792,000","3,295,517,000","3,262,822,000","3,593,516,000","3,829,024,000","3,678,728,000","3,877,332,000","4,523,637,000","5,307,379,000","5,467,978,000","5,425,962,000","6,130,225,000"
Taiwan Province of China,"1,806,042,000","1,650,913,000","1,459,089,000","1,650,535,000","1,568,305,000","1,576,963,000","1,941,524,000","2,265,881,000","2,252,813,000","1,976,873,000","1,827,474,000","1,619,492,000","1,662,472,000","1,870,699,000","1,977,776,000","1,884,335,480","1,503,233,850","1,714,167,886"
Thailand,"4,079,407,000","4,502,821,000","5,275,349,000","5,721,525,000","6,547,742,000","6,248,891,000","7,166,020,000","8,159,613,000","8,144,920,000","7,067,700,000","6,657,459,000","5,701,788,000","5,914,988,000","6,041,469,000","6,077,436,000","5,864,824,195","5,739,224,069","5,411,784,694"
Viet Nam,"2,450,112,000","2,765,366,000","3,379,955,000","3,790,167,000","4,559,252,000","4,311,738,000","5,122,710,000","6,259,788,000","6,291,141,000","6,900,612,000","8,046,560,000","6,774,148,000","7,344,113,000","8,586,492,000","8,911,638,000","8,694,596,455","8,514,592,220","9,087,478,134"
