"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","BWA.PPPPC.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","9900.725","10527.952","11293.327","12032.419","12408.553","10501.132","11465.868","12254.461","12224.218","13551.884","14295.545","13461.529","14275.551","14817.571","14805.292","14863.165","14179.519","16663.869"
"IMF.RES:WEO(4.0.0)","CAF.PPPPC.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","810.631","841.296","890.047","932.855","955.083","994.526","1061.681","1111.225","1177.3","756.424","773.422","813.386","844.724","883.811","929.349","1010.155","1093.064","1158.698"
"IMF.RES:WEO(4.0.0)","CIV.PPPPC.A","OBS_VALUE","Côte d'Ivoire","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","3055.019","3115.956","3170.094","3221.34","3273.293","3306.035","3318.833","3133.187","3439.894","3716.546","3999.447","4271.378","4492.756","4775.636","5029.584","5598.835","5610.457","6096.749"
"IMF.RES:WEO(4.0.0)","CHL.PPPPC.A","OBS_VALUE","Chile","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","13890.975","15011.64","16245.759","17367.617","18175.132","17886.393","18957.807","20326.607","21740.976","22624.125","23199.347","23673.888","24055.811","24479.457","25496.434","25733.104","25236.623","28776.709"
"IMF.RES:WEO(4.0.0)","CMR.PPPPC.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2561.291","2602.296","2702.377","2811.24","2867.308","2880.18","2919.414","3000.106","3107.693","3229.231","3382.72","3509.89","3604.752","3700.341","3945.571","4180.421","4313.605","4739.235"
"IMF.RES:WEO(4.0.0)","COL.PPPPC.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","7882.084","8387.622","9118.027","9881.625","10288.044","10355.521","10833.815","11701.609","12262.505","12986.407","13677.285","14074.832","14345.268","14616.787","15481.289","16349.418","15587.65","17724.572"
"IMF.RES:WEO(4.0.0)","COM.PPPPC.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2377.953","2542.974","2522.492","2559.829","2658.416","2705.519","2783.237","2896.349","2979.362","3098.237","3150.057","3147.053","3211.995","3325.504","3256.076","3274.703","3228.773","3363.698"
"IMF.RES:WEO(4.0.0)","CPV.PPPPC.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","4324.994","4651.136","5163.983","6039.199","6518.012","6391.492","6516.886","6873.298","7037.488","7162.333","7296.962","7392.519","7750.226","8213.839","8168.715","8892.673","7052.22","7876.348"
"IMF.RES:WEO(4.0.0)","CYP.PPPPC.A","OBS_VALUE","Cyprus","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","29065.655","30995.988","32965.837","34931.806","36028.417","34601.555","34850.24","34840.501","33380.881","31571.272","31840.244","33665.361","36163.823","38626.82","40951.164","44995.253","42990.901","48704.181"
"IMF.RES:WEO(4.0.0)","DEU.PPPPC.A","OBS_VALUE","Germany","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","35529.052","37021.162","39716.227","42063.619","43386.427","41376.37","43723.628","46310.615","47305.297","48164.52","49859.442","50714.424","51947.703","54110.278","56273.259","59270.69","58685.778","62950.306"
