"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDEX_TYPE.Name","COICOP_1999.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.STA:CPI(1.0.0)","BGD.CPI._T.IX.A","OBS_VALUE","Bangladesh","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","48.09668793132442","53.57738495529918","56.90856112623175","61.19400706062615","65.4724710579777","69.52801938871617","73.36146462513788","77.54458680639247","81.8433651111511","86.4200431412378","91.33827239319461","96.40357723077832"
"IMF.STA:CPI(1.0.0)","BGR.CPI._T.IX.A","OBS_VALUE","Bulgaria","Consumer price index (CPI)","All Items","Index","Annual","Units","4254.20985632937","4468.572602195392","4793.062230211262","5195.800922855568","5837.415809762148","5998.131672544908","6144.425540516275","6403.714366867462","6592.916481465262","6651.599605224578","6557.267697006255","6550.406613981828","6498.091798997008","6632.05621223579","6818.718401394942","7030.352972393032","7147.931475737542","7383.651982334635"
"IMF.STA:CPI(1.0.0)","BHR.CPI._T.IX.A","OBS_VALUE","Bahrain, Kingdom of","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","84.10955234400275","83.7730799041517","86.08303604460701","88.92378619292595","91.27809075091955","92.96548256841628","95.55623857158382","96.88133442415548","98.90389637831915","99.89869159537749","97.58333333333331","96.99166666666667"
"IMF.STA:CPI(1.0.0)","BHS.CPI._T.IX.A","OBS_VALUE","Bahamas, The","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","93.07076811594204","96.04789855072468","97.94327662255832","98.65083333333332","100.1441666666667","102.0083333333333","101.655","103.1983333333333","105.5366666666667","108.1658333333333","108.2075","111.3508333333334"
"IMF.STA:CPI(1.0.0)","BLR.CPI._T.IX.A","OBS_VALUE","Belarus, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","8.468342863431888","9.060883740742568","9.824422009185575","11.28215761206004","12.74270696437184","13.7284506690094","21.03592625850307","33.4933462588345","39.62673525604225","46.8069230889508","53.14200130372385","59.4321972083623","63.01705061912642","66.08743176628748","69.78710926017747","73.65899827847075","80.627348630734"
"IMF.STA:CPI(1.0.0)","BLZ.CPI._T.IX.A","OBS_VALUE","Belize","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","","96.04861812425855","97.29780795788095","97.79378136321579","98.9686755051603","98.11597722266548","98.76690527162845","99.90040701119678","100.17012075008","100.3575083791027","100.4793771627472","103.7305246580112"
"IMF.STA:CPI(1.0.0)","BOL.CPI._T.IX.A","OBS_VALUE","Bolivia","Consumer price index (CPI)","All Items","Index","Annual","Units","","50.945","53.12666666666665","57.75166666666665","65.84083333333332","68.04416666666668","69.7475","76.64166666666665","80.10249999999998","84.6975","89.58166666666668","93.21833333333332","96.59583333333332","99.3225","101.5791666666667","103.4477611986","104.420937894925","105.19092089275"
"IMF.STA:CPI(1.0.0)","BRA.CPI._T.IX.A","OBS_VALUE","Brazil","Consumer price index (CPI)","All Items","Index","Annual","Units","2318.145","2477.390833333333","2581.034166666668","2675.016666666668","2826.92","2965.100833333332","3114.504166666668","3321.196666666668","3500.6575","3717.849166666665","3953.153333333332","4310.119166666668","4686.786666666668","4848.310833333332","5025.994166666668","5213.613333333335","5381.0625","5827.78"
"IMF.STA:CPI(1.0.0)","BRB.CPI._T.IX.A","OBS_VALUE","Barbados","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","66.14729899497485","72.3864461194863","75.66797529313232","77.0406713324203","78.40390849304835","77.53143769844552","78.5253350083752","82.18476060859852","85.2040759352317","88.69768983807926","",""
"IMF.STA:CPI(1.0.0)","BRN.CPI._T.IX.A","OBS_VALUE","Brunei Darussalam","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","99.95422209154128","100.0920705216817","100.2039396868619","100.5939384835521","100.3855996533718","99.89536916666668","99.6169675","98.36129000000003","99.36954416666669","98.98148416666665","100.9020416666667","102.6510916666667"
