"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","CAN.TXG_RPCH.A","OBS_VALUE","Canada","Exports of goods, Volume, Percent change","Annual","Units","5.332","2.107","0.789","1.369","-5.325","-14.792","8.363","4.96","2.581","2.534","6.226","3.387","0.61","0.841","2.451","0.323","-7.723","1.714"
"IMF.RES:WEO(4.0.0)","CHN.TXG_RPCH.A","OBS_VALUE","China, People's Republic of","Exports of goods, Volume, Percent change","Annual","Units","25.403","24.822","25.983","19.733","9.386","-10.801","29.045","11.164","6.79","9.583","4.306","-2.281","1.293","8.604","4.011","-0.287","4.781","16.22"
"IMF.RES:WEO(4.0.0)","CHL.TXG_RPCH.A","OBS_VALUE","Chile","Exports of goods, Volume, Percent change","Annual","Units","14.881","2.324","3.786","6.624","-1.888","-3.124","0.317","4.363","2.063","3.692","1.729","-1.902","0.484","-1.864","5.896","-2.241","2.876","-1.056"
"IMF.RES:WEO(4.0.0)","COL.TXG_RPCH.A","OBS_VALUE","Colombia","Exports of goods, Volume, Percent change","Annual","Units","11.578","11.238","9.258","7.902","7.361","5.869","-0.181","13.792","4.813","3.38","2.612","-0.3","-1.343","0.485","-6.531","0.346","-6.061","0.574"
"IMF.RES:WEO(4.0.0)","CMR.TXG_RPCH.A","OBS_VALUE","Cameroon","Exports of goods, Volume, Percent change","Annual","Units","0.198","-2.937","1.3","19.067","-2.744","7.408","-9.84","10.42","-0.946","11.313","16.17","14.125","-4.134","-1.369","-0.694","-1.413","-5.932","14.064"
"IMF.RES:WEO(4.0.0)","COD.TXG_RPCH.A","OBS_VALUE","Congo, Democratic Republic of the","Exports of goods, Volume, Percent change","Annual","Units","2.739","0.538","-12.36","88.064","6.527","0.551","51.903","9.932","5.142","27.485","5.879","-2.062","20.377","-30.595","14.64","-10.631","-9.776","12.661"
"IMF.RES:WEO(4.0.0)","CPV.TXG_RPCH.A","OBS_VALUE","Cabo Verde","Exports of goods, Volume, Percent change","Annual","Units","-21.246","28.283","6.516","186.191","-61.7","10.137","29.812","35.715","-10.302","16.952","53.375","-17.03","10.763","-7.031","20.479","4.54","-29.247","-4.658"
"IMF.RES:WEO(4.0.0)","COM.TXG_RPCH.A","OBS_VALUE","Comoros, Union of the","Exports of goods, Volume, Percent change","Annual","Units","-4.602","10.765","12.05","17.163","-36.137","27.184","20.313","-24.302","-28.069","25.844","51.162","-20.688","31.455","-6.854","8.078","-0.002","-27.443","67.607"
"IMF.RES:WEO(4.0.0)","DEU.TXG_RPCH.A","OBS_VALUE","Germany","Exports of goods, Volume, Percent change","Annual","Units","9.277","7.032","12.403","9.372","0.115","-17.152","15.247","8.551","2.712","-0.07","3.568","3.111","1.246","4.814","2.168","1.128","-9.731","10.06"
"IMF.RES:WEO(4.0.0)","CYP.TXG_RPCH.A","OBS_VALUE","Cyprus","Exports of goods, Volume, Percent change","Annual","Units","-5.148","2.758","-16.253","2.392","10.097","3.642","8.422","11.136","-0.183","-12.59","-2.876","7.316","-8.951","6.228","31.608","-16.878","-2.506","21.804"
"IMF.RES:WEO(4.0.0)","CZE.TXG_RPCH.A","OBS_VALUE","Czech Republic","Exports of goods, Volume, Percent change","Annual","Units","40.702","22.963","14.365","11.62","4.177","-10.55","15.926","10.15","4.182","0.688","9.306","4.907","4.126","6.902","3.298","1.131","-6.745","8.082"
"IMF.RES:WEO(4.0.0)","DNK.TXG_RPCH.A","OBS_VALUE","Denmark","Exports of goods, Volume, Percent change","Annual","Units","4.34","5.848","5.322","0.654","2.567","-10.377","6.606","6.226","-0.38","2.006","3.143","3.844","0.821","4.266","1.651","6.259","-1.987","11.788"
"IMF.RES:WEO(4.0.0)","DMA.TXG_RPCH.A","OBS_VALUE","Dominica","Exports of goods, Volume, Percent change","Annual","Units","-2.917","-2.967","-9.232","-16.388","5.94","-3.834","-21.109","-30.351","36.612","9.227","8.17","2.389","-27.022","-51.324","-12.615","93.025","-27.066","36.643"
"IMF.RES:WEO(4.0.0)","ESP.TXG_RPCH.A","OBS_VALUE","Spain","Exports of goods, Volume, Percent change","Annual","Units","5.84","0.086","3.483","10.079","-0.978","-11.433","11.754","8.774","0.926","6.293","3.84","3.913","4.45","5.075","1.393","0.811","-8.553","9.485"
"IMF.RES:WEO(4.0.0)","ERI.TXG_RPCH.A","OBS_VALUE","Eritrea, The State of","Exports of goods, Volume, Percent change","Annual","Units","-74.696","175.715","-14.054","4.189","-20.731","2.769","2.233","2366.057","-1.147","-63.851","208.018","-36.913","-37.712","74.868","25.107","29.801","",""
"IMF.RES:WEO(4.0.0)","EGY.TXG_RPCH.A","OBS_VALUE","Egypt, Arab Republic of","Exports of goods, Volume, Percent change","Annual","Units","17.913","8.737","13.86","14.531","4.714","-0.97","-9.249","-4.297","-15.486","10.528","-5.983","9.111","4.452","9.999","9.123","6.428","3.708","5.33"
"IMF.RES:WEO(4.0.0)","ETH.TXG_RPCH.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Exports of goods, Volume, Percent change","Annual","Units","62.057","24.873","9.505","9.062","-1.452","1.42","23.589","14.465","6.204","3.575","6.497","-2.422","6.72","-2.141","-0.496","-5.726","2.24","12.59"
"IMF.RES:WEO(4.0.0)","FIN.TXG_RPCH.A","OBS_VALUE","Finland","Exports of goods, Volume, Percent change","Annual","Units","8.366","5.728","11.75","9.436","0.308","-22.371","5.518","0.104","-0.606","0.546","-2.702","-4.168","3.114","8.656","0.842","3.932","-4.53","5.548"
"IMF.RES:WEO(4.0.0)","G119.TXG_RPCH.A","OBS_VALUE","G7","Exports of goods, Volume, Percent change","Annual","Units","8.05","6.194","9.763","5.033","0.965","-15.891","15.031","6.042","2.162","1.025","3.933","2.453","1.124","4.79","2.965","0.596","-10.683","8.585"
"IMF.RES:WEO(4.0.0)","G001.TXG_RPCH.A","OBS_VALUE","World","Exports of goods, Volume, Percent change","Annual","Units","10.914","7.77","9.718","7.123","2.332","-11.182","14.488","6.883","3.536","3.191","2.743","2.347","1.967","5.445","3.309","0.073","-4.533","10.88"
"IMF.RES:WEO(4.0.0)","G110.TXG_RPCH.A","OBS_VALUE","Advanced Economies","Exports of goods, Volume, Percent change","Annual","Units","9.611","6.382","9.137","6.069","1.428","-12.97","14.335","6.444","2.605","2.504","3.061","2.947","1.563","4.731","2.967","0.478","-6.622","9.982"
"IMF.RES:WEO(4.0.0)","G200.TXG_RPCH.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Exports of goods, Volume, Percent change","Annual","Units","14.438","11.234","10.985","9.246","4.063","-8.073","14.755","7.59","4.938","4.174","2.291","1.472","2.587","6.585","3.834","-0.531","-1.442","12.184"
"IMF.RES:WEO(4.0.0)","G163.TXG_RPCH.A","OBS_VALUE","Euro Area (EA)","Exports of goods, Volume, Percent change","Annual","Units","7.901","5.049","8.885","7.068","-0.427","-14.282","12.139","6.696","1.773","1.393","3.323","5.49","2.3","4.881","2.86","1.5","-7.473","11.078"
"IMF.RES:WEO(4.0.0)","G205.TXG_RPCH.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Exports of goods, Volume, Percent change","Annual","Units","9.648","8.08","6.273","2.681","-0.018","-9.728","11.755","7.074","3.176","1.339","1.351","3.099","1.52","3.638","3.915","0.209","-5.704","6.704"
"IMF.RES:WEO(4.0.0)","G505.TXG_RPCH.A","OBS_VALUE","Emerging and Developing Asia","Exports of goods, Volume, Percent change","Annual","Units","19.991","16.734","18.366","13.638","5.963","-9.455","22.982","10.831","5.072","7.722","5.021","-1.067","2.526","9.011","4.852","-0.787","2.258","16.267"
"IMF.RES:WEO(4.0.0)","G400.TXG_RPCH.A","OBS_VALUE","Middle East and Central Asia","Exports of goods, Volume, Percent change","Annual","Units","12.194","8.293","5.68","7.268","5.899","-6.455","5.957","6.722","8.89","0.93","-2.155","2.778","2.34","2.433","0.175","-3.474","-7.073","6.582"
"IMF.RES:WEO(4.0.0)","G603.TXG_RPCH.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Exports of goods, Volume, Percent change","Annual","Units","7.547","8.195","2.656","7.904","1.44","-3.817","5.747","-0.233","1.797","3.225","0.409","2.081","-0.85","1.93","2.397","1.782","-8.343","4.572"
"IMF.RES:WEO(4.0.0)","G510.TXG_RPCH.A","OBS_VALUE","ASEAN-5","Exports of goods, Volume, Percent change","Annual","Units","15.607","9.062","8.115","2.583","1.349","-10.66","13.969","8.399","0.958","2.101","2.756","0.836","0.175","8.784","4.795","-3.077","-1.104","13.879"
"IMF.RES:WEO(4.0.0)","GAB.TXG_RPCH.A","OBS_VALUE","Gabon","Exports of goods, Volume, Percent change","Annual","Units","0.022","-2.364","-10.229","2.92","-1.967","7.936","9.345","-12.501","-12.401","1.916","-3.003","18.523","-3.593","-3.602","-6.266","19.904","6.068","2.533"
"IMF.RES:WEO(4.0.0)","G903.TXG_RPCH.A","OBS_VALUE","Emerging and Developing Europe (EDE)","Exports of goods, Volume, Percent change","Annual","Units","11.773","6.362","8.494","8.698","2.464","-7.041","10.161","3.47","2.36","2.115","2.023","5.668","5.168","6.7","4.487","1.937","-2.014","9.027"
"IMF.RES:WEO(4.0.0)","GEO.TXG_RPCH.A","OBS_VALUE","Georgia","Exports of goods, Volume, Percent change","Annual","Units","6.943","12.272","-2.506","9.251","-13.412","0.576","-0.713","23.014","7.844","18.413","-1.41","-0.014","7.892","10.664","16.513","15.63","-13.966","13.246"
"IMF.RES:WEO(4.0.0)","GIN.TXG_RPCH.A","OBS_VALUE","Guinea","Exports of goods, Volume, Percent change","Annual","Units","-5.105","6.47","2.038","5.07","1.11","12.676","-10.133","-10.968","-0.773","-4.387","8.933","9.404","12.459","23.445","7.47","-6.365","5.213","24.013"
"IMF.RES:WEO(4.0.0)","GBR.TXG_RPCH.A","OBS_VALUE","United Kingdom","Exports of goods, Volume, Percent change","Annual","Units","1.896","7.68","14.691","-9.002","0.563","-10.432","10.336","6.551","-1.0","-0.736","1.361","3.524","0.851","7.041","0.474","2.098","-12.539","0.975"
"IMF.RES:WEO(4.0.0)","GMB.TXG_RPCH.A","OBS_VALUE","Gambia, The","Exports of goods, Volume, Percent change","Annual","Units","-28.975","9.814","-11.381","16.039","-6.952","9.921","0.906","17.394","4.699","4.047","4.019","4.626","4.677","5.168","5.168","5.168","-48.611","-55.819"
"IMF.RES:WEO(4.0.0)","GNB.TXG_RPCH.A","OBS_VALUE","Guinea-Bissau","Exports of goods, Volume, Percent change","Annual","Units","8.78","18.526","-13.292","13.435","0.245","20.129","-10.08","44.895","-12.371","4.253","6.797","7.603","-2.371","7.807","34.116","9.901","-5.487","21.442"
"IMF.RES:WEO(4.0.0)","GNQ.TXG_RPCH.A","OBS_VALUE","Equatorial Guinea, Republic of","Exports of goods, Volume, Percent change","Annual","Units","58.851","48.765","-0.052","3.035","5.495","0.805","-2.884","-0.986","9.57","-10.137","-0.826","-12.632","-15.669","-20.683","8.351","-6.647","-6.814","6.378"
"IMF.RES:WEO(4.0.0)","GRC.TXG_RPCH.A","OBS_VALUE","Greece","Exports of goods, Volume, Percent change","Annual","Units","11.028","8.317","11.158","11.612","0.016","-13.302","7.723","5.817","8.552","1.056","2.532","8.096","5.31","5.803","9.734","-0.044","0.404","12.361"
"IMF.RES:WEO(4.0.0)","GRD.TXG_RPCH.A","OBS_VALUE","Grenada","Exports of goods, Volume, Percent change","Annual","Units","","","","","","","","","","","","-5.871","-4.203","1.558","10.23","2.143","-33.849","18.308"
"IMF.RES:WEO(4.0.0)","HKG.TXG_RPCH.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Exports of goods, Volume, Percent change","Annual","Units","15.644","12.416","10.236","6.875","3.241","-11.255","18.031","4.631","3.305","8.211","0.84","-1.726","1.558","6.451","3.466","-5.452","-1.402","18.719"
"IMF.RES:WEO(4.0.0)","IRL.TXG_RPCH.A","OBS_VALUE","Ireland","Exports of goods, Volume, Percent change","Annual","Units","6.996","3.923","2.772","8.778","-5.922","6.31","2.482","-0.637","-2.195","-0.351","16.305","59.15","0.803","3.416","8.626","7.206","15.899","18.431"
"IMF.RES:WEO(4.0.0)","IRN.TXG_RPCH.A","OBS_VALUE","Iran, Islamic Republic of","Exports of goods, Volume, Percent change","Annual","Units","-1.867","-2.956","6.384","-3.473","-4.186","5.69","7.874","0.947","-2.74","-22.585","19.24","44.729","16.443","2.209","-17.202","-23.652","5.535","14.771"
"IMF.RES:WEO(4.0.0)","IDN.TXG_RPCH.A","OBS_VALUE","Indonesia","Exports of goods, Volume, Percent change","Annual","Units","4.95","11.152","2.879","-1.277","10.581","-7.494","2.776","14.319","3.969","1.092","1.727","-1.403","-1.241","11.572","6.457","-8.577","-2.303","23.767"
"IMF.RES:WEO(4.0.0)","ISR.TXG_RPCH.A","OBS_VALUE","Israel","Exports of goods, Volume, Percent change","Annual","Units","15.629","2.583","4.235","9.549","3.499","-12.766","15.932","5.546","-4.136","2.529","1.017","-4.71","-1.359","0.705","2.456","1.531","-1.199","6.922"
"IMF.RES:WEO(4.0.0)","JPN.TXG_RPCH.A","OBS_VALUE","Japan","Exports of goods, Volume, Percent change","Annual","Units","14.305","7.774","10.743","8.749","1.558","-25.538","28.307","0.038","0.566","-0.713","6.391","3.211","1.618","6.619","3.76","-1.458","-11.637","11.907"
"IMF.RES:WEO(4.0.0)","KEN.TXG_RPCH.A","OBS_VALUE","Kenya","Exports of goods, Volume, Percent change","Annual","Units","1.938","20.355","-10.058","16.327","5.171","-4.797","7.047","4.11","3.514","-7.644","11.889","-5.032","4.076","-2.631","2.362","1.126","9.476","4.479"
"IMF.RES:WEO(4.0.0)","KIR.TXG_RPCH.A","OBS_VALUE","Kiribati","Exports of goods, Volume, Percent change","Annual","Units","-24.343","61.648","-38.988","220.773","-25.571","-20.79","-9.444","68.998","-10.728","-18.245","35.541","-7.061","3.372","30.244","-46.912","51.884","-24.978","-9.896"
"IMF.RES:WEO(4.0.0)","KNA.TXG_RPCH.A","OBS_VALUE","St. Kitts and Nevis","Exports of goods, Volume, Percent change","Annual","Units","","","","","","","","","","","","-37.773","-25.018","19.634","26.058","21.059","-37.935","0.754"
"IMF.RES:WEO(4.0.0)","KOR.TXG_RPCH.A","OBS_VALUE","Korea, Republic of","Exports of goods, Volume, Percent change","Annual","Units","21.199","9.042","13.774","12.948","6.401","0.067","13.929","17.343","5.27","4.075","1.158","-0.602","1.875","4.206","2.819","-1.494","0.074","10.852"
"IMF.RES:WEO(4.0.0)","LCA.TXG_RPCH.A","OBS_VALUE","St. Lucia","Exports of goods, Volume, Percent change","Annual","Units","","","","","","","","","","","","30.275","-17.678","1.871","-26.632","31.186","-32.523","25.588"
