"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","ESP.LUR.A","OBS_VALUE","Spain","Unemployment rate","Annual","Units","10.965","9.153","8.453","8.233","11.245","17.855","19.858","21.39","24.788","26.095","24.443","22.058","19.635","17.225","15.255","14.105","15.533","14.92"
"IMF.RES:WEO(4.0.0)","FJI.LUR.A","OBS_VALUE","Fiji, Republic of","Unemployment rate","Annual","Units","7.255","7.3","7.7","8.6","8.8","8.7","7.1","7.1","6.8","6.367","6.2","5.5","5.5","4.5","4.5","4.5","13.351","9.0"
"IMF.RES:WEO(4.0.0)","FIN.LUR.A","OBS_VALUE","Finland","Unemployment rate","Annual","Units","8.875","8.475","7.775","6.95","6.425","8.325","8.5","7.9","7.8","8.325","8.825","9.575","8.975","8.825","7.417","6.725","7.767","7.608"
"IMF.RES:WEO(4.0.0)","G110.LUR.A","OBS_VALUE","Advanced Economies","Unemployment rate","Annual","Units","6.612","6.34","5.888","5.495","5.885","8.09","8.357","8.027","8.085","7.984","7.335","6.728","6.26","5.679","5.136","4.832","6.615","5.618"
"IMF.RES:WEO(4.0.0)","G119.LUR.A","OBS_VALUE","G7","Unemployment rate","Annual","Units","6.374","6.17","5.776","5.426","5.864","7.995","8.121","7.625","7.359","7.08","6.364","5.796","5.446","4.978","4.535","4.273","6.486","5.214"
"IMF.RES:WEO(4.0.0)","G163.LUR.A","OBS_VALUE","Euro Area (EA)","Unemployment rate","Annual","Units","9.4","9.233","8.5","7.65","7.683","9.65","10.267","10.308","11.5","12.142","11.725","10.967","10.108","9.125","8.225","7.583","7.967","7.758"
"IMF.RES:WEO(4.0.0)","GBR.LUR.A","OBS_VALUE","United Kingdom","Unemployment rate","Annual","Units","4.75","4.825","5.425","5.35","5.725","7.625","7.9","8.1","7.975","7.625","6.2","5.425","4.95","4.45","4.175","3.925","4.65","4.625"
"IMF.RES:WEO(4.0.0)","GEO.LUR.A","OBS_VALUE","Georgia","Unemployment rate","Annual","Units","13.9","15.1","15.4","17.4","17.9","18.3","27.2","27.2","26.7","26.4","23.0","21.9","21.7","21.6","19.2","17.6","18.5","20.6"
"IMF.RES:WEO(4.0.0)","GRC.LUR.A","OBS_VALUE","Greece","Unemployment rate","Annual","Units","10.6","10.0","9.0","8.4","7.75","9.6","12.725","17.85","24.425","27.475","26.5","24.9","23.55","21.45","19.3","17.325","16.325","14.775"
"IMF.RES:WEO(4.0.0)","IDN.LUR.A","OBS_VALUE","Indonesia","Unemployment rate","Annual","Units","9.86","11.24","10.28","9.11","8.39","7.87","7.14","6.56","6.14","6.25","5.94","6.18","5.61","5.5","5.24","5.18","7.07","6.49"
"IMF.RES:WEO(4.0.0)","IRL.LUR.A","OBS_VALUE","Ireland","Unemployment rate","Annual","Units","4.742","4.633","4.767","5.0","6.8","12.65","14.592","15.417","15.483","13.767","11.892","9.942","8.383","6.767","5.792","4.992","5.842","6.258"
"IMF.RES:WEO(4.0.0)","JAM.LUR.A","OBS_VALUE","Jamaica","Unemployment rate","Annual","Units","12.2","11.225","10.325","9.85","10.575","11.35","12.375","12.4","13.925","15.275","13.75","13.5","13.2","11.65","9.125","7.7","10.2","8.375"
"IMF.RES:WEO(4.0.0)","KGZ.LUR.A","OBS_VALUE","Kyrgyz Republic","Unemployment rate","Annual","Units","8.53","8.117","8.267","8.153","8.219","8.417","8.644","8.53","8.427","8.332","8.046","7.554","7.211","6.891","6.922","6.922","8.656","9.014"
"IMF.RES:WEO(4.0.0)","JPN.LUR.A","OBS_VALUE","Japan","Unemployment rate","Annual","Units","4.733","4.425","4.117","3.833","3.983","5.075","5.058","4.583","4.325","4.008","3.583","3.375","3.108","2.817","2.433","2.358","2.8","2.817"
"IMF.RES:WEO(4.0.0)","KOR.LUR.A","OBS_VALUE","Korea, Republic of","Unemployment rate","Annual","Units","3.658","3.75","3.475","3.258","3.175","3.633","3.708","3.408","3.225","3.1","3.492","3.592","3.675","3.683","3.833","3.783","3.942","3.675"
"IMF.RES:WEO(4.0.0)","LKA.LUR.A","OBS_VALUE","Sri Lanka","Unemployment rate","Annual","Units","8.3","7.7","6.6","6.2","6.0","5.9","5.0","4.1","4.0","4.4","4.3","4.7","4.4","4.2","4.4","4.8","5.5","5.1"
"IMF.RES:WEO(4.0.0)","LTU.LUR.A","OBS_VALUE","Lithuania, Republic of","Unemployment rate","Annual","Units","10.884","8.324","5.778","4.248","5.827","13.787","17.814","15.39","13.366","11.77","10.699","9.119","7.861","7.073","6.146","6.254","8.488","7.113"
"IMF.RES:WEO(4.0.0)","LVA.LUR.A","OBS_VALUE","Latvia, Republic of","Unemployment rate","Annual","Units","11.742","10.042","7.033","6.075","7.75","17.55","19.475","16.208","15.048","11.868","10.847","9.875","9.642","8.715","7.415","6.311","8.099","7.557"
"IMF.RES:WEO(4.0.0)","MAC.LUR.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Unemployment rate","Annual","Units","4.875","4.15","3.775","3.05","3.025","3.55","2.825","2.575","2.0","1.85","1.7","1.825","1.9","1.975","1.8","1.725","2.55","2.95"
"IMF.RES:WEO(4.0.0)","MDA.LUR.A","OBS_VALUE","Moldova, Republic of","Unemployment rate","Annual","Units","8.1","7.3","7.4","5.1","4.0","6.4","7.4","6.7","5.6","5.1","3.9","5.025","4.225","4.125","3.05","5.125","3.825","3.25"
"IMF.RES:WEO(4.0.0)","MLT.LUR.A","OBS_VALUE","Malta","Unemployment rate","Annual","Units","7.217","6.942","6.817","6.467","5.975","6.883","6.842","6.392","6.2","6.108","5.733","5.392","4.7","4.008","3.958","4.083","4.85","3.767"
"IMF.RES:WEO(4.0.0)","MKD.LUR.A","OBS_VALUE","North Macedonia, Republic of","Unemployment rate","Annual","Units","37.15","37.25","36.025","34.925","33.775","32.175","32.05","31.375","31.0","29.0","28.025","26.05","23.75","22.275","20.6","17.15","16.15","15.425"
"IMF.RES:WEO(4.0.0)","MNG.LUR.A","OBS_VALUE","Mongolia","Unemployment rate","Annual","Units","","","","11.3","9.2","11.6","9.9","7.7","8.2","7.9","7.9","7.5","10.0","8.8","7.8","10.0","7.0","8.1"
"IMF.RES:WEO(4.0.0)","MUS.LUR.A","OBS_VALUE","Mauritius","Unemployment rate","Annual","Units","8.395","9.567","9.081","8.522","7.222","7.328","7.8","7.9","8.1","8.0","7.8","7.9","7.3","7.1","6.9","6.7","9.2","9.1"
"IMF.RES:WEO(4.0.0)","MYS.LUR.A","OBS_VALUE","Malaysia","Unemployment rate","Annual","Units","3.55","3.55","3.325","3.225","3.325","3.675","3.3","3.05","3.025","3.1","2.875","3.15","3.45","3.425","3.325","3.275","4.525","4.65"
"IMF.RES:WEO(4.0.0)","NGA.LUR.A","OBS_VALUE","Nigeria","Unemployment rate","Annual","Units","","","","","","","5.092","5.957","10.566","9.955","7.841","9.0","13.375","17.462","22.562","","",""
"IMF.RES:WEO(4.0.0)","NLD.LUR.A","OBS_VALUE","Netherlands, The","Unemployment rate","Annual","Units","6.773","6.961","6.079","5.295","4.77","5.422","6.082","6.05","6.823","8.204","8.338","7.887","7.005","5.873","4.881","4.436","4.851","4.226"
"IMF.RES:WEO(4.0.0)","NIC.LUR.A","OBS_VALUE","Nicaragua","Unemployment rate","Annual","Units","6.537","5.559","5.193","5.935","6.062","8.158","7.829","5.93","5.912","5.746","6.557","5.909","4.481","3.67","5.5","5.341","6.564","11.1"
"IMF.RES:WEO(4.0.0)","NOR.LUR.A","OBS_VALUE","Norway","Unemployment rate","Annual","Units","4.471","4.616","3.444","2.539","2.747","3.266","3.794","3.364","3.294","3.773","3.617","4.531","4.74","4.216","3.854","3.728","4.595","4.41"
"IMF.RES:WEO(4.0.0)","PAN.LUR.A","OBS_VALUE","Panama","Unemployment rate","Annual","Units","11.749","9.781","8.662","6.372","5.579","6.557","6.516","4.481","4.05","4.098","4.823","5.052","5.494","6.13","5.956","7.07","18.548","11.293"
"IMF.RES:WEO(4.0.0)","PAK.LUR.A","OBS_VALUE","Pakistan","Unemployment rate","Annual","Units","7.69","7.69","6.2","5.2","5.2","5.46","5.55","5.95","5.95","5.975","6.0","5.9","5.88","5.832","5.8","6.9","6.562","6.3"
"IMF.RES:WEO(4.0.0)","PHL.LUR.A","OBS_VALUE","Philippines","Unemployment rate","Annual","Units","11.825","11.35","7.95","7.325","7.4","7.475","7.325","7.025","6.975","7.075","6.8","6.275","5.475","5.725","5.325","5.1","10.4","7.783"
"IMF.RES:WEO(4.0.0)","PER.LUR.A","OBS_VALUE","Peru","Unemployment rate","Annual","Units","9.435","9.583","8.527","8.399","8.379","8.386","7.9","7.665","6.801","5.956","5.571","6.489","6.75","6.886","6.653","6.581","13.036","10.732"
"IMF.RES:WEO(4.0.0)","POL.LUR.A","OBS_VALUE","Poland, Republic of","Unemployment rate","Annual","Units","19.276","18.052","14.169","9.944","7.466","8.514","9.635","9.632","10.088","10.328","8.988","7.499","6.161","4.888","3.846","3.279","3.163","3.373"
"IMF.RES:WEO(4.0.0)","PRT.LUR.A","OBS_VALUE","Portugal","Unemployment rate","Annual","Units","7.392","8.343","8.408","8.722","8.315","10.177","11.506","13.585","16.636","17.216","14.546","12.862","11.268","9.217","7.183","6.65","7.117","6.725"
"IMF.RES:WEO(4.0.0)","PRY.LUR.A","OBS_VALUE","Paraguay","Unemployment rate","Annual","Units","7.307","5.831","6.653","5.601","5.728","6.398","5.674","5.621","4.573","5.021","6.038","5.351","5.998","6.086","6.236","6.569","7.708","7.51"
"IMF.RES:WEO(4.0.0)","RUS.LUR.A","OBS_VALUE","Russian Federation","Unemployment rate","Annual","Units","7.733","7.15","7.05","6.025","6.233","8.242","7.358","6.508","5.45","5.5","5.158","5.575","5.525","5.2","4.8","4.6","5.767","4.833"
"IMF.RES:WEO(4.0.0)","SDN.LUR.A","OBS_VALUE","Sudan","Unemployment rate","Annual","Units","16.183","17.01","17.493","16.77","16.04","14.894","13.733","12.033","14.8","15.2","19.8","21.6","20.6","19.6","19.5","22.1","26.83","28.328"
"IMF.RES:WEO(4.0.0)","STP.LUR.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Unemployment rate","Annual","Units","16.12","16.47","16.65","15.852","15.712","15.095","14.628","14.127","13.59","13.525","13.472","13.433","13.416","13.472","","","",""
"IMF.RES:WEO(4.0.0)","SVK.LUR.A","OBS_VALUE","Slovak Republic","Unemployment rate","Annual","Units","18.358","16.358","13.442","11.217","9.592","12.1","14.425","13.617","13.908","14.158","13.117","11.475","9.658","8.058","6.517","5.717","6.642","6.825"
"IMF.RES:WEO(4.0.0)","SUR.LUR.A","OBS_VALUE","Suriname","Unemployment rate","Annual","Units","8.383","11.084","12.281","10.682","9.361","8.711","7.2","7.5","8.1","6.6","5.5","7.0","10.0","7.0","9.0","8.797","11.147","11.2"
"IMF.RES:WEO(4.0.0)","SVN.LUR.A","OBS_VALUE","Slovenia, Republic of","Unemployment rate","Annual","Units","6.325","6.55","6.0","4.875","4.425","5.9","7.25","8.225","8.9","10.1","9.75","9.0","8.025","6.575","5.125","4.45","5.0","4.725"
"IMF.RES:WEO(4.0.0)","SWE.LUR.A","OBS_VALUE","Sweden","Unemployment rate","Annual","Units","7.517","7.908","7.167","6.242","6.275","8.417","8.7","7.875","8.067","8.108","8.042","7.517","7.058","6.783","6.433","6.908","8.483","8.892"
"IMF.RES:WEO(4.0.0)","SYR.LUR.A","OBS_VALUE","Syrian Arab Republic","Unemployment rate","Annual","Units","12.288","8.089","8.182","8.406","10.924","8.139","8.613","","","","","","","","","","",""
"IMF.RES:WEO(4.0.0)","TJK.LUR.A","OBS_VALUE","Tajikistan, Republic of","Unemployment rate","Annual","Units","2.2","2.1","2.3","2.5","2.3","2.1","2.2","2.492","","","","","","","","","",""
"IMF.RES:WEO(4.0.0)","TWN.LUR.A","OBS_VALUE","Taiwan Province of China","Unemployment rate","Annual","Units","4.44","4.13","3.91","3.91","4.14","5.85","5.21","4.39","4.24","4.18","3.96","3.78","3.92","3.76","3.71","3.73","3.85","3.95"
"IMF.RES:WEO(4.0.0)","TUR.LUR.A","OBS_VALUE","Türkiye, Republic of","Unemployment rate","Annual","Units","9.688","9.2","8.7","8.9","9.8","12.9","11.0","9.0","8.3","8.9","9.9","10.3","10.9","10.9","10.9","13.7","13.1","12.0"
"IMF.RES:WEO(4.0.0)","UKR.LUR.A","OBS_VALUE","Ukraine","Unemployment rate","Annual","Units","8.588","7.185","6.81","6.351","6.363","8.843","8.097","7.856","7.529","7.172","9.275","9.143","9.45","9.65","9.0","8.5","9.15","9.835"
"IMF.RES:WEO(4.0.0)","USA.LUR.A","OBS_VALUE","United States","Unemployment rate","Annual","Units","5.542","5.083","4.608","4.617","5.8","9.283","9.608","8.933","8.075","7.358","6.158","5.275","4.875","4.358","3.892","3.675","8.092","5.35"
"IMF.RES:WEO(4.0.0)","UZB.LUR.A","OBS_VALUE","Uzbekistan, Republic of","Unemployment rate","Annual","Units","3.6","3.0","5.2","4.99","4.893","5.041","5.357","4.963","4.874","4.86","5.087","5.153","5.163","5.83","9.347","8.976","10.531","9.625"
"IMF.RES:WEO(4.0.0)","WBG.LUR.A","OBS_VALUE","West Bank and Gaza","Unemployment rate","Annual","Units","26.8","23.5","23.7","21.7","26.6","24.5","23.7","20.9","23.0","23.4","26.9","25.9","26.9","25.45","26.25","25.35","25.925","26.392"
"IMF.RES:WEO(4.0.0)","VEN.LUR.A","OBS_VALUE","Venezuela, República Bolivariana de","Unemployment rate","Annual","Units","15.067","12.242","9.958","8.492","7.354","7.879","8.508","8.204","7.823","7.47","7.99","12.491","20.863","27.886","35.554","","",""
"IMF.RES:WEO(4.0.0)","WEO123.LUR.A","OBS_VALUE","Other Advanced Economies","Unemployment rate","Annual","Units","5.293","5.074","4.637","4.156","3.983","5.275","5.152","4.664","4.604","4.581","4.588","4.464","4.349","4.151","3.973","3.929","4.628","4.308"
"IMF.RES:WEO(4.0.0)","ABW.LUR.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Unemployment rate","Annual","Units","9.5","8.8","9.3","5.71","6.9","10.3","10.6","8.879","9.607","7.599","7.451","7.298","7.694","8.923","7.283","5.2","8.6","8.8"
"IMF.RES:WEO(4.0.0)","ARG.LUR.A","OBS_VALUE","Argentina","Unemployment rate","Annual","Units","13.625","11.575","10.175","8.475","7.875","8.675","7.75","7.15","7.2","7.075","7.25","6.533","8.467","8.35","9.2","9.825","11.55","8.75"
"IMF.RES:WEO(4.0.0)","AUS.LUR.A","OBS_VALUE","Australia","Unemployment rate","Annual","Units","5.383","5.033","4.792","4.375","4.25","5.575","5.208","5.083","5.233","5.658","6.058","6.058","5.717","5.608","5.283","5.175","6.475","5.125"
"IMF.RES:WEO(4.0.0)","BGR.LUR.A","OBS_VALUE","Bulgaria","Unemployment rate","Annual","Units","12.192","10.177","9.022","6.935","5.664","6.878","10.306","11.35","12.379","13.038","11.524","9.233","7.666","6.23","5.273","4.275","5.207","5.249"
"IMF.RES:WEO(4.0.0)","BHR.LUR.A","OBS_VALUE","Bahrain, Kingdom of","Unemployment rate","Annual","Units","","","","5.6","3.7","4.0","3.6","4.0","3.7","4.3","3.8","3.5","4.3","4.1","4.3","4.7","5.9","6.8"
"IMF.RES:WEO(4.0.0)","BHS.LUR.A","OBS_VALUE","Bahamas, The","Unemployment rate","Annual","Units","10.202","10.17","7.628","7.853","8.703","14.246","15.082","15.889","14.367","15.782","14.636","13.379","12.15","10.1","10.35","10.1","26.218","17.646"
